_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
abdelal01,"June 24, 1968","Cairo, Egypt",0.3,50.2,0.0,70.1,256,13.0,5.7,3.3,4.8,50.2,Duke University,25th overall,1st round,Portland Trail Blazers,1990,6-10,"Bloomfield in Bloomfield, New Jersey",Alaa Abdelnaby,Power Forward,Right,240lb
abdulza01,"April 7, 1946","Brooklyn, New York",1.2,42.8,,72.8,505,15.1,9.0,8.0,17.5,,Iowa State University,5th overall,1st round,Cincinnati Royals,1968,6-9,"John Jay in Brooklyn, New York",Zaid Abdul-Aziz,Power Forward and Center,Right,235lb
abdulka01,"April 16, 1947","New York, New York",3.6,55.9,5.6,72.1,1560,24.6,24.6,11.2,273.4,55.9,"University of California, Los Angeles",1st overall,1st round,Milwaukee Bucks,1969,7-2,"Power Memorial in New York, New York",Kareem Abdul-Jabbar,Center,Right,225lb
abdulma02,"March 9, 1969","Gulfport, Mississippi",3.5,44.2,35.4,90.5,586,15.4,14.6,1.9,25.2,47.2,Louisiana State University,3rd overall,1st round,Denver Nuggets,1990,6-1,"Gulfport in Gulfport, Mississippi",Mahmoud Abdul-Rauf,Point Guard,Right,162lb
abdulta01,"November 3, 1974","Maisons Alfort, France",1.1,41.7,23.7,70.3,236,11.4,7.8,3.3,3.5,42.2,"University of Michigan, San Jose State University",11th overall,1st round,Sacramento Kings,1997,6-6,"Lycee Aristide Briand in Evreux, France",Tariq Abdul-Wahad,Shooting Guard,Right,223lb
abdursh01,"December 11, 1976","Marietta, Georgia",2.5,47.2,29.7,81.0,830,19.0,18.1,7.5,71.2,47.9,University of California,3rd overall,1st round,Vancouver Grizzlies,1996,6-9,"Wheeler in Marietta, Georgia",Shareef Abdur-Rahim,Center and Small Forward and Power Forward,Right,225lb
abernto01,"May 6, 1954","South Bend, Indiana",1.2,49.2,0.0,74.7,319,12.9,5.6,3.2,13.4,49.2,Indiana University,43rd overall,3rd round,Los Angeles Lakers,1976,6-7,"Saint Joseph in South Bend, Indiana",Tom Abernethy,Small Forward and Power Forward,Right,220lb
ablefo01,"July 27, 1932",,1.0,0.0,,-,1,-41.1,0.0,1.0,0.0,,Western Kentucky University,,1956 NBA Draf,Syracuse Nationals,,6-3,"Fairdale in Louisville, Kentucky",Forest Able,Guard,Right,180lb
abramjo01,"February 9, 1919","Etna, Pennsylvania",0.7,23.7,,68.6,56,-,9.5,-,-1.9,,Salem International University,,,,,6-3,"Etna in Etna, Pennsylvania",John Abramovic,Forward,Right,195lb
abrinal01,"August 1, 1993","Palma de Mallorca, Spain",0.5,38.7,36.8,88.0,174,8.8,5.3,1.4,5.0,52.5,,32nd overall,2nd round,Oklahoma City Thunder,2013,6-6,,Alex Abrines,Shooting Guard,Right,200lb
ackeral01,"January 21, 1983","Compton, California",0.5,37.0,32.0,50.0,30,8.5,2.7,1.0,-0.2,41.3,Pepperdine University,60th overall,2nd round,Detroit Pistons,2005,6-5,"Eisenhower in Rialto, California",Alex Acker,Shooting Guard,Right,185lb
ackerdo01,"September 4, 1930","New York, New York",0.8,22.2,,53.6,28,1.0,1.5,0.5,-0.6,,Long Island University,1953 NBA Draft,2nd roun,New York Knicks,,6-0,"Metropolitan in New York, New York",Don Ackerman,Point Guard,Right,183lb
acresma01,"November 15, 1962","Inglewood, California",0.5,50.6,53.8,66.5,375,9.0,3.6,4.1,9.3,50.9,Oral Roberts University,40th overall,2nd round,Dallas Mavericks,1985,6-11,"Palos Verdes in Palos Verdes Estates, California",Mark Acres,Center,Right,220lb
actonbu01,"January 11, 1942",,0.5,39.2,,65.5,23,9.5,3.3,2.0,0.1,,Hillsdale College,,,,,6-6,"Troy in Troy, Michigan",Bud Acton,Small Forward,Right,210lb
acyqu01,"October 6, 1990","Tyler, Texas",0.6,44.4,35.0,75.9,337,11.2,4.9,3.5,8.7,51.3,Baylor University,37th overall,2nd round,Toronto Raptors,2012,6-7,"Mesquite Horn in Mesquite, Texas",Quincy Acy,Power Forward and Small Forward,Right,240lb
adamsal01,"July 19, 1954","Lawrence, Kansas",4.1,49.8,13.3,78.8,988,18.3,14.1,7.0,73.5,49.8,University of Oklahoma,4th overall,1st round,Phoenix Suns,1975,6-9,"Putnam City in Warr Acres, Oklahoma",Alvan Adams,Center and Power Forward,Right,210lb
adamsdo01,"November 27, 1947","Atlanta, Georgia",1.9,40.2,0.0,74.1,523,10.7,8.8,5.6,11.7,40.2,Northwestern University,120th overall,8th round,San Diego Rockets,1970,6-6,"South Fulton in South Fulton, Georgia",Don Adams,Small Forward,Right,210lb
adamsge01,"May 15, 1949","Kings Mountain, North Carolina",1.5,49.7,23.5,79.4,215,14.0,7.7,4.1,6.6,49.9,Gardner-Webb University,46th overall,3rd round,Milwaukee Bucks,1972,6-5,,George Adams,Small Forward,Right,210lb
adamsha01,"June 20, 1984","Inglewood, California",0.2,53.4,0.0,64.3,73,11.8,2.5,1.2,0.8,53.4,University of Arizona,54th overall,2nd round,New Jersey Nets,2006,6-4,"Westchester in Los Angeles, California",Hassan Adams,Shooting Guard,Right,220lb
adamsja01,"May 4, 1996","Baltimore, Maryland",1.9,34.5,33.8,77.8,34,7.6,3.2,1.8,0.1,45.9,St. Bonaventure University,,,,,6-2,"Mount St. Joseph in Baltimore, Maryland",Jaylen Adams,Point Guard,Right,190lb
adamsjo01,"July 8, 1994","Atlanta, Georgia",0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",22nd overall,1st round,Memphis Grizzlies,2014,6-5,"Oak Hill Academy in Mouth of Wilson, Virginia",Jordan Adams,Shooting Guard,Right,209lb
adamsmi01,"January 19, 1963","Hartford, Connecticut",6.4,41.5,33.2,84.9,653,16.6,14.7,2.9,46.9,47.5,Boston College,66th overall,3rd round,Sacramento Kings,1985,5-10,"Hartford Public in Hartford, Connecticut",Michael Adams,Point Guard,Right,162lb
adamsst01,"July 20, 1993","Rotorua, New Zealand",1.0,58.8,0.0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,12th overall,1st round,Oklahoma City Thunder,2013,7-0,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Steven Adams,Center,Right,265lb
addisra01,"July 22, 1964","Jersey City, New Jersey",0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,Syracuse University,39th overall,2nd round,Phoenix Suns,1986,6-7,"Snyder in Jersey City, New Jersey",Rafael Addison,Small Forward,Right,215lb
adebaba01,"July 18, 1997","Newark, New Jersey",1.9,55.0,13.6,72.8,151,17.0,8.0,6.5,11.0,55.1,University of Kentucky,14th overall,1st round,Miami Heat,2017,6-10,"High Point Christian Academy in High Point, North Carolina",Bam Adebayo,Center,Right,255lb
adelde01,"February 1, 1997","Juba, South Sudan",0.3,30.6,26.1,100.0,19,2.7,1.7,1.0,-0.2,38.9,University of Louisville,,,,,6-7,"Victoria Rock Prep HS in Bradenton, Florida",Deng Adel,Small Forward,Right,200lb
adelmri01,"June 16, 1946","Lynwood, California",3.5,41.5,,71.3,462,11.3,7.7,2.4,10.0,,Loyola Marymount University,79th overall,7th round,San Diego Rockets,1968,6-1,"Saint Pius X in Downey, California",Rick Adelman,Point Guard,Right,175lb
adrieje01,"February 10, 1986","Brookline, Massachusetts",0.7,47.4,0.0,62.8,153,15.0,4.6,4.3,4.4,47.4,University of Connecticut,,,,,6-7,"Brewster Academy in Wolfeboro, New Hampshire",Jeff Adrien,Power Forward,Right,245lb
afflaar01,"October 15, 1985","Los Angeles, California",1.8,45.0,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",27th overall,1st round,Detroit Pistons,2007,6-5,"Centennial in Compton, California",Arron Afflalo,Shooting Guard and Small Forward,Right,210lb
agerma01,"February 9, 1984","Detroit, Michigan",0.2,33.9,25.0,56.6,82,2.8,2.1,0.6,-0.9,36.8,Michigan State University,28th overall,1st round,Dallas Mavericks,2006,6-5,"Crocket in Detroit, Michigan",Maurice Ager,Shooting Guard,Right,202lb
aguirma01,"December 10, 1959","Chicago, Illinois",3.1,48.4,31.2,74.1,923,19.0,20.0,5.0,67.8,49.8,DePaul University,1st overall,1st round,Dallas Mavericks,1981,6-6,"George Westinghouse in Chicago, Illinois",Mark Aguirre,Small Forward,Right,232lb
ahearbl01,"May 27, 1984","St. Louis, Missouri",1.2,27.3,29.8,97.0,19,7.2,4.6,1.2,-0.2,36.4,Missouri State University,,,,,6-2,"De Smet Jesuit in Creve Coeur, Missouri",Blake Ahearn,Point Guard,Right,190lb
aingeda01,"March 17, 1959","Eugene, Oregon",4.0,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,Brigham Young University,31st overall,2nd round,Boston Celtics,1981,6-4,"Eugene in North Eugene, Oregon",Danny Ainge,Shooting Guard and Point Guard,Right,175lb
aitchma01,"September 21, 1944","St. Louis, Missouri",0.4,40.5,0.0,67.5,45,11.9,5.6,3.6,0.5,40.5,Michigan State University,135th overall,13th round,Detroit Pistons,1967,6-7,"Maplewood-Richmond Heights in Maplewood, Missouri",Matthew Aitch,Power Forward,Right,230lb
ajincal01,"May 6, 1988","Saint-Etienne, France",0.5,50.3,28.6,79.7,293,14.9,5.3,3.9,7.5,50.7,,20th overall,1st round,Charlotte Bobcats,2008,7-2,,Alexis Ajinca,Power Forward and Center,Right,248lb
akinhe01,"July 31, 1944","Detroit, Michigan",0.5,35.0,0.0,67.6,88,7.4,3.5,2.1,-1.2,35.0,Morehead State University,11th overall,2nd round,New York Knicks,1966,6-10,,Henry Akin,Center and Power Forward,Right,225lb
akognjo01,"February 10, 1986","Greenbrae, California",0.3,50.0,50.0,-,3,15.3,1.7,0.3,0.0,62.5,"Washington State University, California State University, Fullerton",,,,,5-11,"Casa Grande in Petaluma, California",Josh Akognon,Point Guard,Right,185lb
akoonde01,"June 5, 1993","Orlando, Florida",0.9,30.0,0.0,50.0,7,8.2,1.0,0.6,0.0,30.0,Illinois State University,,,,,6-6,"West Oaks Academy in Orlando, Florida",DeVaughn Akoon-Purcell,Shooting Guard,Right,200lb
alabiso01,"March 21, 1988","Kaduna, Nigeria",0.2,31.4,-,70.0,26,10.3,1.5,2.3,0.0,31.4,Florida State University,50th overall,2nd round,Dallas Mavericks,2010,7-1,"Montverde Academy in Montverde, Florida",Solomon Alabi,Center,Right,251lb
alarima01,"December 11, 1963","Phoenix, Arizona",1.1,47.5,25.2,77.5,325,13.0,7.5,3.4,8.4,48.3,Duke University,18th overall,1st round,Denver Nuggets,1986,6-8,"Brophy College Preparatory in Phoenix, Arizona",Mark Alarie,Power Forward,Right,217lb
alcorga01,"October 8, 1936",,0.3,29.3,,59.8,78,6.5,3.3,4.2,-1.3,,"California State University, Fresno",16th overall,3rd round,Detroit Pistons,1959,6-9,,Gary Alcorn,Center,Right,225lb
aldemfu01,"August 9, 1991","Konak, Turkey",0.7,51.3,0.0,48.1,41,12.0,2.3,4.3,1.4,51.3,,53rd overall,2nd round,Los Angeles Clippers,2012,6-10,,Furkan Aldemir,Power Forward,Right,240lb
aldrico01,"October 31, 1988","Burnsville, Minnesota",0.5,52.7,-,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,11th overall,1st round,New Orleans Hornets,2010,6-11,"Thomas Jefferson in Bloomington, Minnesota",Cole Aldrich,Center,Right,250lb
aldrila01,"July 19, 1985","Dallas, Texas",2.0,49.1,28.3,81.0,950,20.9,19.6,8.4,107.0,49.5,University of Texas at Austin,2nd overall,1st round,Chicago Bulls,2006,6-11,"Seagoville in Seagoville, Texas",LaMarcus Aldridge,Power Forward and Center,Right,260lb
